"","m","r","ratio","n"
"152",12,8,1.5,13.0814662494256
"153",13,8,1.625,12.6789595955971
"154",14,8,1.75,12.3339538923155
"155",15,8,1.875,12.0349489494715
"156",16,8,2,11.773319624483
"157",17,8,2.125,11.5424702200814
"158",18,8,2.25,11.3372707495022
"159",19,8,2.375,11.1536712231944
"160",20,8,2.5,10.9884316495175
"161",1,9,0.111111111111111,69.7678199969363
"162",2,9,0.222222222222222,38.372300998315
"163",3,9,0.333333333333333,27.9071279987745
"164",4,9,0.444444444444444,22.6745414990043
"165",5,9,0.555555555555556,19.5349895991422
"166",6,9,0.666666666666667,17.4419549992341
"167",7,9,0.777777777777778,15.946930285014
"168",8,9,0.888888888888889,14.825661749349
"169",9,9,1,13.9535639993873
"170",10,9,1.11111111111111,13.2558857994179
"171",11,9,1.22222222222222,12.6850581812611
"172",12,9,1.33333333333333,12.2093684994639
"173",13,9,1.44444444444444,11.8068618456354
"174",14,9,1.55555555555556,11.4618561423538
"175",15,9,1.66666666666667,11.1628511995098
"176",16,9,1.77777777777778,10.9012218745213
"177",17,9,1.88888888888889,10.6703724701197
"178",18,9,2,10.4651729995404
"179",19,9,2.11111111111111,10.2815734732327
"180",20,9,2.22222222222222,10.1163338995558
"181",1,10,0.1,69.070141796967
"182",2,10,0.2,37.6746227983456
"183",3,10,0.3,27.2094497988052
"184",4,10,0.4,21.9768632990349
"185",5,10,0.5,18.8373113991728
"186",6,10,0.6,16.7442767992647
"187",7,10,0.7,15.2492520850447
"188",8,10,0.8,14.1279835493796
"189",9,10,0.9,13.2558857994179
"190",10,10,1,12.5582075994485
"191",11,10,1.1,11.9873799812918
"192",12,10,1.2,11.5116902994945
"193",13,10,1.3,11.109183645666
"194",14,10,1.4,10.7641779423845
"195",15,10,1.5,10.4651729995404
"196",16,10,1.6,10.2035436745519
"197",17,10,1.7,9.97269427015031
"198",18,10,1.8,9.76749479957108
"199",19,10,1.9,9.58389527326336
"200",20,10,2,9.4186556995864
"201",1,11,0.0909090909090909,68.4993141788102
"202",2,11,0.181818181818182,37.1037951801889
"203",3,11,0.272727272727273,26.6386221806484
"204",4,11,0.363636363636364,21.4060356808782
"205",5,11,0.454545454545455,18.2664837810161
"206",6,11,0.545454545454545,16.173449181108
"207",7,11,0.636363636363636,14.6784244668879
"208",8,11,0.727272727272727,13.5571559312229
"209",9,11,0.818181818181818,12.6850581812611
"210",10,11,0.909090909090909,11.9873799812918
"211",11,11,1,11.416552363135
"212",12,11,1.09090909090909,10.9408626813377
"213",13,11,1.18181818181818,10.5383560275093
"214",14,11,1.27272727272727,10.1933503242277
"215",15,11,1.36363636363636,9.89434538138369
"216",16,11,1.45454545454545,9.63271605639518
"217",17,11,1.54545454545455,9.40186665199356
"218",18,11,1.63636363636364,9.19666718141433
"219",19,11,1.72727272727273,9.0130676551066
"220",20,11,1.81818181818182,8.84782808142965
"221",1,12,0.0833333333333333,68.0236244970129
"222",2,12,0.166666666666667,36.6281054983916
"223",3,12,0.25,26.1629324988511
"224",4,12,0.333333333333333,20.9303459990809
"225",5,12,0.416666666666667,17.7907940992188
"226",6,12,0.5,15.6977594993107
"227",7,12,0.583333333333333,14.2027347850906
